h_name,pincode,contact
G.B Pant Hospital,744104,03192 230628
I.N.H.S. Dhanvantri,744103,03192 248759
Pillar Health Centre,744103,"03192 233193, 03192 233993"
A.P.Vidya Vidhana Parishad Community Hospital Blood Bank,524101,08624 251804
A.S.N. Raju Charitable Trust Blood Bank,NA,0886 222558
Alluri Sita Rama Raju Acadamy of Medical Sciences Blood Bank,NA,08812 244484
Anil Neerukunda Hospital Blood Bank,NA,"08933 226961, 08933 226900"
Apollo Hospitals Heart and Kidney Centre Blood Bank,NA,"0891 252619, 0891 252622"
APVVP Area Hospital Blood Bank,NA,"08562 253342, 08562 253154"
APVVP Area Hospital Blood Bank,NA,NA
APVVP Area Hospital Blood Bank,NA,08626 240167
APVVP Community Hospital,NA,08572 22087
APVVP District Hospital Blood Bank,NA,08644 228850
APVVP NT Rama Rao Vaidyalayam Blood Bank,NA,08924 223340
"APVVP, Area Hospital Blood Bank",NA,08674 245040
Area Hospital Blood Bank,NA,NA
Arogyavaram Medical Centre Blood Bank,NA,NA
AS Raja Voluntary Blood Bank,NA,"0891 2543436, 0891 5563436"
ASN Raju Charitable Trust Blood Bank,NA,0886 222558
Aswini Hospital Blood Bank,NA,NA
Belif Blood Bank,523002,0859 2222345
Best Rotary Blood Bank,522201,NA
Bethesda Blood Bank (A Unit of Bethesda Homes Voluntary Organisation),NA,0866 2435888
Bhimavaram Hospitals Limited Blood Bank,NA,"08814 221111, 08814 221122, 08814 221133, 08814 221100"
Blessed Blood Bank,522601,NA
Blood Bank Aayush Hospital,520008,0866 2541414
Boga Parvathamma Memorial Donation Service Organisation,516002,NA
Chaitanya Blood Bank,NA,NA
Dhanwantari Voluntary Blood Bank and Blood Components (A Division of Dhanwantari Charitable Trust),NA,NA
District Head Quarters Hospital Blood Bank,NA,8592233310
District Co-ordinator of Hospital Services Blood Bank,521001,08672 222302
District Head Quarter Hospital Blood Bank,NA,08572 22087
District Head Quarter Hospital Blood Bank,NA,NA
District Hospital Blood Bank,NA,"0866 2440044, 0883 2428555"
Dr. Anji Reddy Multispeciality Hospitals Pvt,522413,"08649 254001, 08649 254002"
Dr. Pinnamaneni Siddartha Inst. of Medical Sci. and Res. Foundation Blood Bank,NA,"08676 257311, 08676 257317"
DSR District Government Head Quarter Hospital Blood Bank,NA,"0861 2328500, 0861 2326833"
Fathima Institute of Medical Sciences Blood Bank,516390,"08562 240900, 08562 240600"
GMR Varalakhsmi Care Hospital Blood Bank,532127,08941 25318485
Good Samaritan Blood Bank,NA,08812 241187
Government District Hospital Blood Bank,NA,08518 255422
Government Area Hospital Blood Bank,NA,08674 245040
Government General Hospital Blood Bank (Medical University General Hospital Blood Bank),NA,"0866 2452244, 0866 2452844"
Government General Hospital Blood Bank,NA,08518 255422
Government General Hospital Blood Bank (Formerly District Head Quarter Hospital),NA,08554 275024
Government General Hospital Blood Bank,NA,0866 2220035
Government General Hospital Blood Bank,NA,0884 2302008
Government Head Quarters Hospital Blood Bank,NA,08812 249668
Government Maternity Hospital Blood Bank,NA,0877 2234072
Government Victoria Hospital for Women and Children Blood Bank,NA,NA
Government Area Hospital Blood Bank,NA,NA
Government Area Hospital Blood Bank,NA,08594 232373
Great Eastern Medical School and GEMS Hospital Blood Bank,NA,"08942 22654, 08942 210519"
GSL Medical College and General Hospital Blood Bank,NA,0883 2484999
Indian Naval Hospital Ship Kalyani Blood Bank,NA,0891 2814028
Indian Red Cross Society B.S. Sastry Blood Bank,NA,08942 226555
Indian Red Cross Society Blood Bank,NA,"08562 275724, 08562 272829"
Indian Red Cross Society Blood Bank,NA,08572 220287
Indian Red Cross Society Blood Bank,NA,NA
Indian Red Cross Society Blood Bank,NA,08518 255347
Indian Red Cross Society Blood Bank,NA,NA
Indian Red Cross Society Blood Bank,NA,08647 224455
Indian Red Cross Society Blood Bank,NA,NA
Indian Red Cross Society Blood Bank,NA,0891 2703953
Indian red cross society Blood Bank,NA,NA
Indian Red Cross Society Blood Bank,NA,08554 246344
Indian Red Cross Society Blood Bank,NA,NA
Indian Red Cross Society Blood Bank,NA,0884 2385800
Indian Red Cross Society Blood Bank,NA,NA
Indian Red Cross Society Blood Bank,NA,0861 232070
Indian Red Cross Society Blood Bank,NA,08518 255347
Indian Red Cross Society Blood Bank,NA,08922 223818
"Indian Red Cross Society, Dr Mullapudi Harischandra Prasad Red Cross Blood Bank",NA,08819 221184
Indian Red Cross Society Blood Bank,NA,9866355655
Indian Red Cross Society Blood Bank,NA,08494 224144
Indian Red Cross Society Blood Bank,NA,NA
Indian Red Cross Society Blood Bank,NA,08821 225305
Indian Red Cross Society Blood Bank,NA,08648 223939
Jagruti Charitable Trust Blood Bank,NA,0883 2443612
K.K Indian Red Cross Society Blood bank,NA,NA
Kamineni Health care Pvt. . Blood Bank,NA,0866 246 3333
Katuri Medical College and Hospital Blood Bank,NA,"0863 22885550, 0863 2288556"
King George Hospital Blood Bank,NA,NA
Konaseema Institute of Medical Sciences and Research Foundation Hospital Blood Bank,NA,"08856237424, 08856 237986"
Life Line Voluntary Blood Bank,NA,9908520073
Lions Blood Bank (Lions Vijayawada Vision Multiservice Trust),NA,9392120187
Lions Club of Visakhapatnam Blood Bank Trust,530002,6692587
"Lions Vision Blood Bank, Lions Club International",NA,"0863 23361980, 0863 2336199"
Dr. Pattabhi Red Cross Society Blood Bank,NA,08672 230605
Gitam Institute of Medical Sciences Blood Bank,530045,0891 2790222
Maharaja Institute of Medical Sciences Blood Bank,NA,08922 244390
Manipal Hospital Blood Bank,NA,"0866 2498400, 0866 2498200"
N. T. R. Memorial Trust Blood Bank,NA,"0863 233444, 0863 2339444"
Nagarjuna Hospitals Limited Blood Bank,NA,"0866 2554701, 0866 2554705"
Narayana Medical College and General Hospital Blood Bank,NA,"0861 2317963, 0861 2317964, 0861 2317968"
Needs Blood Bank (A Unit of Needs Society),NA,0863 36638222
"Nimra Institute of Medical Sciences (NIMS), Teaching Hospital and Research Centre",NA,0866 6500000
"NRI Academy of Sciences, NRI Medical College and General Hospital Blood Bank",NA,"08645 236777, 08645 237401, 08645 237402 , 08645 237405"
"NRT Blood Bank, GBR Super Speciality Hospital",522601,9542628888
NTR Memorial Trust Blood Bank,530002,"0891 2555858, 0891 2565858"
Ongole Blood Bank,NA,"08592 227223,08592 233281"
Padmavathi Day and Night Blood Bank,NA,0863 2222222
"Palakol Voluntary Blood Bank, (A division of Palakol Charitable Trust)",NA,"08814 222678, 08814 222678"
Peoples Education Society Institute of Medical Sciences and Research Blood Bank,NA,"08570 256666, 08570 256556"
Project Hospital Blood Bank,NA,08524 286050
R.R. Hospital Blood Bank,518004,"08518 225414, 08518 223131"
Rajiv Gandhi Institute of Medical Sciences General Hospital Blood Bank,532001,08942 279161
Rajiv Gandhi Institute of Medical Science blood bank,NA,08592 233270
Rajiv Gandhi Institute of Medical Sciences Blood Bank,NA,"08562 20039, 08562 20040"
Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),NA,0884 2367366
"Rotary Blood Bank, (Visakha Portcity Charitable Trust)",NA,0897 7191222
Rotary Red Cross Blood Bank,520003,0866 2553833
Rudhira Voluntary Blood Bank,NA,NA
Rural Development Trust Hospital Blood Bank,NA,"08559 2440290, 08559 2442590, 08554 271306"
Sakthi Voluntary Blood Bank,NA,08854 200099
Santhiram Medical College and General Hospital Blood Bank,NA,"08514 242806 ,08514 222818"
Seven Hills Hospitals Blood Bank,NA,"0891 27080900, 0891 6677777"
Smt. Chigurupati Manjuvani Varaprasad Lions District 324-C4 Blood Bank,NA,"0866 2573636, 0866 2573388"
Smt. Venkata Narasamma and Helapuri Lions Blood Bank,NA,0877 6667671
South Central Railway Hospital Blood Bank,NA,NA
South Central Railway Hospital Blood Bank,NA,08552 227166
Sri Buddala Narasimhamurty Blood Bank,NA,08819 222263
Sri Lakshmi Maternity and Surgical Nursing Home,NA,"0866 2435888, 0866 2553140"
Sri Satya Sai Institute of Higher Medical Sciences Blood Bank,NA,"08555 287900, 08555 287388, 08555 287554"
Sri Venkata Sai Charitable Trust Blood Bank,NA,0877 6667671
Sri Venkateswara Institute of Medical Sciences Blood Bank,NA,0877 2287777
Srinivasa Nursing Home Blood Bank,NA,089422 275513
St. Anns Hospital Blood Bank,520002,"0866 2575333, 0866 2573675"
St. Josephs General Hospital Blood Bank,NA,0863 233815
Suraksha Voluntary Blood Bank,520002,NA
SVRR Government General Hospital Blood Bank,NA,08771 2286666
Swatanthra Hospital (Super Speciality Hospital) Pvt. . Blood Bank,533105,0883 2465434
TTD Central Hospital Blood Bank,NA,0877 2264622
Uddaraju Anandaraju Foundation Blood Bank,NA,"08816 223192, 08816 227166"
Vijaya Blood Bank,NA,"08564 253686, 08564 252966"
Vijayasri Blood Bank (A Unit of Vijayasri Memorial Charitable Trust),NA,0866 2537937
Visakha Steel General Hospital Blood Bank,NA,0891 2888462
"Visakha Voluntary Blood Bank, (A Division of Visakha Charitable Trust)",NA,NA
"Viswa Bharathi General Hospital Blood Bank, R.T. Nagar, Near Penchikalapadu (V)",NA,"08518 283889,08518 283898"
Viswa Bharathi Super Speciality Hospital Blood Bank,518002,08518 229967
"SVRR Hospital and Medical College, Tirupati",517501,0877 2286290
Government General Hospital,520007,0866 2452244
Government Blood Bank DH,534006,08812 220333
"Blood Bank, Government Hospital",NA,08674 245040
Government Area Hospital,NA,NA
Area Hospital Blood Bank,NA,NA
Community Hospital Blood Bank,NA,NA
Community Hospital Blood Bank,NA,NA
Community Hospital Blood Bank,NA,NA
AH Blood Bank,NA,NA
AH Blood Bank,NA,NA
AH Blood Bank,NA,NA
"Arunachal State Hospital, General Hospital",791110,NA
General Hospital,791102,NA
Ramakrishna Mission Hospital,791111,NA
District Hospital Blood Bank,NA,NA
District Hospital Blood Bank,NA,0380 4222261
District Hospital,792120,NA
District Hospital Blood Bank,NA,NA
District Hospital Blood Bank,NA,NA
District Hospital,790104,NA
District Hospital,791120,NA
District Hospital Blood Bank,791122,NA
District Hospital,791002,NA
"C.H.C. blood bank, Bongaigaon",NA,NA
Silchar Medical College and Hospital Blood Bank.,NA,NA
BRPL Hospital Blood Bank,NA,NA
Blood Bank Red Cross Children Hospital,NA,NA
Mangaldoi Civil Hospital blood bank,NA,NA
Dhemaji Civil Hospital blood bank,NA,NA
"Assam Medical College & Hospital Blood Bank,State of the Art Model blood bank",NA,NA
Brahmaputra Valley Fertilizer Corporation Ltd,NA,NA
Oil India Ltd. Hospital Blood Bank,786602,NA
Dhubri Civil Hospital Blood Bank,NA,NA
Goalpara Civil Hospital,NA,NA
K.K. Civil Hospital blood bank,NA,NA
Hailakandi Civil Hospital Blood Bank,788015,NA
State of the Art Model blood bank,NA,NA
Dr. B. Barooah Cancer Institute Blood Bank,780016,
M.M.C. Hospital Blood Bank,NA,NA
Diphu Civil Hospital Blood Bank,NA,NA
Karimganj Civil Hospital Blood Bank,788710,NA
R.N.B. Civil Hospital Blood Bank,783370,NA
North Lakhimpur Civil Hospital,NA,NA
Marigaon Civil Hospital blood bank,NA,NA
B.P. Civil Hospital,NA,NA
Civil Hospital blood bank,NA,NA
